District,Soil_Type,Crop_Name,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,Zn_kg_ha,S_kg_ha,Recommended_pH,Turbidity_NTU,Water_Temp_C,Weather,Fertilizer
Ahmednagar,Black,Sugarcane,231.1,106.3,184.2,6.28,42.0,7.1,3.4,28.9,Moderate Rainfall,Complex Fertilizer
Ahmednagar,Black,Sugarcane,234.3,88.6,187.3,8.25,32.7,7.9,6.7,34.5,Post-Monsoon,NPK 19:19:19
Ahmednagar,Black,Wheat,99.1,64.1,63.4,2.59,17.5,8.2,11.9,31.3,Pre-Monsoon,DAP
Ahmednagar,Black,Wheat,109.4,50.0,64.1,3.47,20.2,7.7,8.7,34.6,Winter,Urea
Ahmednagar,Clay,Sugarcane,265.4,85.3,175.0,6.2,37.6,6.7,3.2,30.5,Moderate Rainfall,Complex Fertilizer
Ahmednagar,Clay,Sugarcane,218.4,107.9,194.0,8.26,40.5,8.0,3.8,33.6,Post-Monsoon,Urea
Ahmednagar,Clay,Cotton,153.2,41.3,51.9,4.68,25.4,7.3,6.0,31.7,Pre-Monsoon,Complex Fertilizer
Ahmednagar,Clay,Wheat,97.9,52.0,57.0,4.28,15.9,8.0,10.9,33.5,Winter,Urea
Ahmednagar,Red,Cotton,115.5,66.3,63.2,2.74,25.8,6.9,9.2,29.9,Moderate Rainfall,Complex Fertilizer
Ahmednagar,Red,Maize,135.2,80.4,50.4,6.07,22.8,5.6,9.2,32.6,Post-Monsoon,Complex Fertilizer
Ahmednagar,Red,Cotton,146.3,56.2,45.8,4.84,24.8,6.9,4.0,26.1,Pre-Monsoon,Urea
Ahmednagar,Red,Maize,135.4,70.0,48.3,3.14,16.7,6.6,11.4,30.4,Winter,NPK 12:32:16
Akola,Black,Cotton,105.5,42.6,64.8,3.25,20.4,8.4,3.5,32.5,Moderate Rainfall,DAP
Akola,Black,Soybean,34.0,61.1,51.7,5.02,17.3,7.3,8.9,33.9,Monsoon,DAP
Akola,Black,Cotton,101.8,39.7,49.6,4.09,18.3,8.1,7.3,30.3,Post-Monsoon,DAP
Akola,Black,Cotton,137.7,60.2,61.6,2.85,18.1,8.5,11.3,27.1,Winter,Urea
Akola,Clay,Cotton,135.1,56.7,47.7,3.91,20.1,7.2,8.5,33.5,Moderate Rainfall,Urea
Akola,Clay,Soybean,31.2,63.6,39.6,3.78,24.2,7.3,9.7,31.0,Monsoon,NPK 12:32:16
Akola,Clay,Cotton,133.4,43.0,49.7,4.15,20.1,7.6,11.9,28.3,Post-Monsoon,Urea
Akola,Clay,Soybean,36.1,72.1,46.2,3.18,25.2,6.6,4.5,30.3,Winter,DAP
Akola,Red,Soybean,39.0,91.1,46.7,3.45,17.3,6.3,10.7,26.4,Moderate Rainfall,NPK 12:32:16
Akola,Red,Soybean,40.6,89.7,56.7,5.51,24.9,5.9,8.2,32.2,Monsoon,NPK 12:32:16
Akola,Red,Cotton,144.4,72.9,53.3,4.56,22.3,6.8,3.1,33.8,Post-Monsoon,DAP
Akola,Red,Soybean,43.7,80.9,49.0,4.42,27.9,5.9,4.1,30.2,Winter,Superphosphate
Amravati,Black,Soybean,38.0,67.1,49.5,3.19,21.0,7.4,6.3,34.5,Moderate Rainfall,Superphosphate
Amravati,Black,Cotton,102.4,48.8,47.9,4.16,15.8,7.5,4.5,29.6,Monsoon,Urea
Amravati,Black,Soybean,24.2,75.1,52.2,4.63,19.7,8.4,8.7,26.5,Post-Monsoon,NPK 12:32:16
Amravati,Black,Soybean,35.9,79.1,49.3,3.32,22.9,7.6,9.0,31.5,Winter,Superphosphate
Amravati,Clay,Soybean,37.4,71.7,41.0,4.04,22.6,8.0,11.6,28.0,Moderate Rainfall,NPK 12:32:16
Amravati,Clay,Soybean,35.2,64.4,43.4,3.4,22.5,6.5,11.7,26.2,Monsoon,NPK 12:32:16
Amravati,Clay,Soybean,40.0,73.9,46.5,3.21,17.5,7.4,9.0,27.5,Post-Monsoon,DAP
Amravati,Clay,Soybean,36.2,62.1,48.0,4.32,19.5,7.4,8.0,32.1,Winter,DAP
Amravati,Red,Pigeon Pea,30.8,56.9,29.1,4.4,21.6,6.9,6.4,29.4,Moderate Rainfall,Ammonium Sulphate
Amravati,Red,Soybean,39.2,75.4,55.9,4.7,18.1,5.8,6.2,26.7,Monsoon,Superphosphate
Amravati,Red,Soybean,31.2,86.5,45.3,3.99,16.1,6.6,9.9,33.4,Post-Monsoon,NPK 12:32:16
